0xProject,https://0xproject.com/,"1,000,000,000",$0.05,"500,000,000","$24,000,000.00","$48,000,000.00",2017-08-15,2017-08-16,Ethereum,ZRX,Completed,"$24,000,000.00",,$0.27,5.54x,USA,Exchange platform,
Monetha,https://www.monetha.io/,"402,400,000",$0.18,"214,079,315","£700,000.00","$72,834,400.00",,2017-08-31,Ethereum,MTH,Completed,"$36,388,800.00",,$0.28,1.55x,Switzerland,"Service, Payments",
